,emotion,text,hidden_emo_text,label
1898,fear,when i lost my friends at a concert,when i lost my friends at a concert,2
1921,fear,I was in a car accident,I was in a car accident,2
1388,disgust,"I was speaking to a man in the job and he was taking no responsibility for his actions, for the suffering of his family. I couldn't show how I felt but I remember internally recoiling from him.","I was speaking to a man in the job and he was taking no responsibility for his actions, for the suffering of his family. I couldn't show how I felt but I remember internally recoiling from him.",1
1579,disgust,several days ago when learning that manager of long term care homes in my region are not and will not be punished for negligence leading to deaths amid the pandemic.,several days ago when learning that manager of long term care homes in my region are not and will not be punished for negligence leading to deaths amid the pandemic.,1
1419,disgust,"I had breakfast yesterday, because the food was so terrible. I tried to muscle through but could not finish it.","I had breakfast yesterday, because the food was so terrible. I tried to muscle through but could not finish it.",1
2515,joy,"When I was on Vacation, outside in nature exploring the mountains.","When I was on Vacation, outside in nature exploring the mountains.",3
5977,surprise,When I found a tenner on the floor last month,When I found a tenner on the floor last month,5
1259,disgust,I was walking in the lark with a friend and a stranger approached us and exposed himself,I was walking in the lark with a friend and a stranger approached us and exposed himself,1
1543,disgust,I felt disgust when my older sister tried to tell me how to parent my children and she tried to assert her opinions and make her opinion happen rather than myself as the parent,I felt ... when my older sister tried to tell me how to parent my children and she tried to assert her opinions and make her opinion happen rather than myself as the parent,1
147,anger,"A partner I thought considered me a good person accused me of being cruel to their child, which I would never do and made me angry they thought I could.","A partner I thought considered me a good person accused me of being cruel to their child, which I would never do and made me ... they thought I could.",0
2504,joy,I finished my coding bootcamp,I finished my coding bootcamp,3
4767,sadness,Visiting my grandpa in the hospital when he first got sick.,Visiting my grandpa in the hospital when he first got sick.,4
1113,disgust,"When I had to clean up puke at my old job in a nightclub, it was vile and spread across the room more than it should have - on the floor and walls. No remorse from the person either.","When I had to clean up puke at my old job in a nightclub, it was vile and spread across the room more than it should have - on the floor and walls. No remorse from the person either.",1
2953,joy,I felt joy when I first met my boyfriend's dog because I really love dogs and his dog is very fun and loving,I felt ... when I first met my boyfriend's dog because I really love dogs and his dog is very fun and loving,3
5996,surprise,A hummingbird suddenly appeared.,A hummingbird suddenly appeared.,5
1552,disgust,I went to bite into toast to find the bread was mouldy,I went to bite into toast to find the bread was mouldy,1
2821,joy,Reminiscing memories with my dad,Reminiscing memories with my dad,3
6003,surprise,My boyfriend turned up with a starbucks,My boyfriend turned up with a starbucks,5
1366,disgust,someone vomited beside me,someone vomited beside me,1
1413,disgust,"I had to help a heifer deliver a calf when I was about 12 years old.  I felt a weird sense of pride for being able to help the cow, but at the same time I felt incredibly grossed out from what exactly I was looking at and doing.","I had to help a heifer deliver a calf when I was about 12 years old.  I felt a weird sense of pride for being able to help the cow, but at the same time I felt incredibly grossed out from what exactly I was looking at and doing.",1
1140,disgust,I went a resturant to eat somthing and the food quality were very poor.,I went a resturant to eat somthing and the food quality were very poor.,1
5824,surprise,I felt surprise when my fiancé proposed to me.,I felt ... when my fiancé proposed to me.,5
1894,fear,I felt fear when Joe Biden announced the vaccine mandate for businesses employing more than 100 people.,I felt ... when Joe Biden announced the vaccine mandate for businesses employing more than 100 people.,2
2064,fear,I have to perform for others,I have to perform for others,2
125,anger,When my in-laws turned up 2 hours late for a booked restaurant meal and not for the first time either.,When my in-laws turned up 2 hours late for a booked restaurant meal and not for the first time either.,0
1122,disgust,I feel disgust whenever I eat seafood.,I feel ... whenever I eat seafood.,1
2551,joy,I got my results for my Undergraduate Degree. I had really put my all into my work for it after a really tough couple of years (both of my parents dying). This was my first and only year where I felt as if I had grown up and when I got a first class honours degree (in a subject I truly believed I was awful in) it really gave me joy.,I got my results for my Undergraduate Degree. I had really put my all into my work for it after a really tough couple of years (both of my parents dying). This was my first and only year where I felt as if I had grown up and when I got a first class honours degree (in a subject I truly believed I was awful in) it really gave me ....,3
