text,label
You find a foreign coin in your pocket change.,surprise
You get a glimpse of a meteor shower lighting up the night sky.,happiness
Someone uses the last of the milk and puts the empty carton back in the fridge.,anger
You recall a missed opportunity that might have changed your life.,sadness
You're given unrealistic deadlines without prior notice.,anger
You witness someone leaving a bathroom stall with toilet paper stuck to their shoe.,disgust
"The autumn leaves fall, signaling the end of a season.",sadness
"The computer crashes, erasing hours of your unsaved work.",anger
You hear about a holiday you've never heard of before.,surprise
"While on vacation, a hotel mishap leads to you losing your booked room.",anger
You come across an old letter filled with unfulfilled dreams.,sadness
You visit a place that has the exact scent of your grandparent's home.,happiness
A childhood game brings back a rush of memories.,happiness
Your suggestions in a meeting are dismissed without consideration.,anger
You find a forgotten souvenir from a memorable trip.,happiness
You successfully complete a challenging DIY project.,happiness
A project you've invested in fails because of others' laziness.,anger
You find a shoe but can't locate its pair.,surprise
A long-awaited package arrives earlier than expected.,happiness
You discover that the hand soap in a public restroom is empty.,disgust
You get the last item on sale at your favorite store.,happiness
You find out a relative has written a book.,surprise
You find an old scarf given by someone during a winter trip.,sadness
You see a shooting star during a night out camping.,happiness
You're scuba diving and lose sight of your group.,fear
"While cleaning, you find a toy from your childhood, now broken.",sadness
You find out a close friend has an identical twin.,surprise
Your car starts sliding on an icy road.,fear
Someone breaks a promise they made to you.,anger
A tale recounts the challenges of maintaining long-distance ties.,sadness
"You're abroad, and there's sudden political unrest or a coup.",fear
You're asked to identify a suspect in a criminal lineup.,fear
You see a logo you don't recognize on a familiar brand's packaging.,surprise
The shoes from a memorable event are now worn out.,sadness
You find out someone has been reading your personal diary.,anger
A group chat consistently makes plans that exclude you.,anger
You find a bookmark in a book you bought second-hand.,surprise
You discover a poem inscribed on the inside cover of a book you've owned for years.,surprise
You witness someone tossing an apple core into a lake.,disgust
An artwork you created is admired by a passerby.,happiness
You find a forgotten ticket stub that brings back memories.,happiness
Your meal is taken from the communal fridge at work.,anger
You find a recipe on a food package that you wouldn't expect.,surprise
You're in the right place at the right time for a rare event.,happiness
You see someone not washing their hands after petting numerous animals.,disgust
You receive a message from your crush asking to spend time together.,happiness
You're on a mountain hike and see an avalanche in the distance.,fear
You're at a lake and see an alligator swimming nearby.,fear
You're lost in a maze and can't find the exit.,fear
You read a story about a soldier's hardships away from home.,sadness
You wake up to find an unknown animal in your room.,fear
"You're in a remote place, and your vehicle's tire blows out.",fear
You see a restaurant employee handling money and then touching food without washing hands.,disgust
A piece of jewelry with sentimental value goes missing.,sadness
You find out your email has been sending spam to all your contacts.,fear
You listen to a podcast or read a story that resonates deeply.,happiness
You smell an overwhelming odor of decay while walking down the street.,disgust
You find someone mocking your personal tastes.,anger
You hear about the end of an era that meant a lot to you.,sadness
You witness a car accident happen right in front of you.,fear
You receive a package with no return address.,surprise
A friend constantly borrows money but never pays back.,anger
You hear someone loudly belching at a family gathering.,disgust
You find a forgotten toy from childhood in a dusty corner.,sadness
You notice a window in a building you thought had none.,surprise
You find out a group activity was organized without your knowledge.,anger
Your brakes fail while you're driving downhill.,fear
You stumble upon a street fair you didn't know was happening.,surprise
You come across an old article or blog post that mentions you.,surprise
You discover a strong smell of ammonia in a restroom.,disgust
A once-bustling store in your neighborhood shuts down.,sadness
You see someone wiping their greasy hands on a curtain.,disgust
The book you're reading has a character facing the loss of their parent.,sadness
You find out your child has been communicating with a stranger online.,fear
"You find a rotting, forgotten packed lunch in a work refrigerator.",disgust
"You discover a secret, scenic spot in your city.",happiness
A documentary highlights the challenges faced by refugees.,sadness
Someone keeps taking your reserved parking spot.,anger
You come across an unfamiliar constellation in the night sky.,surprise
"You're on a plane, and the oxygen masks drop.",fear
An old phone has messages from those who've since drifted apart.,sadness
A piece of artwork in a gallery speaks to you deeply.,happiness
You receive an anonymous threatening letter.,fear
You discover a pile of discarded food wrappers and bottles in a nature reserve.,disgust
You're on a ladder and it starts to wobble.,fear
"The corner store, with your favorite candy, has new ownership.",sadness
You discover rust and algae in a pet's water dish.,disgust
You witness the aftermath of a forest affected by wildfire.,sadness
An artist depicts the loneliness of urban life.,sadness
The candy store where you got treats as a kid is shut.,sadness
"You're on an elevator, and it abruptly stops between floors.",fear
You notice someone loudly chewing with their mouth open during a meeting.,disgust
You find expired and discolored condiments in a fridge.,disgust
A movie scene depicts a parent-child relationship that tugs at your heart.,sadness
"You find an old, forgotten candy stash.",happiness
You see someone scratching their foot and then touching communal objects.,disgust
You find an old trophy recalling a bittersweet victory.,sadness
You unexpectedly hear a song that reminds you of home.,happiness
You discover a movie scene that you swear wasn't there the last time you watched it.,surprise
You see someone taking a dip in a public fountain.,disgust
You're left waiting for hours without an explanation.,anger
A favorite local store closes down after decades of service.,sadness
Your pet suddenly starts behaving aggressively.,fear
You receive unexpected support for a cause you're passionate about.,happiness
You witness someone removing their shoes and airing their feet in a crowded bus.,disgust
You find leftover food splattered inside a microwave.,disgust
You're in a store and hear someone shout 'Fire!',fear
You discover that a package you've been waiting for was delivered to the wrong address.,anger
"You discover old, crusty food stuck to a menu in a restaurant.",disgust
Someone leaves a communal space in chaos after using it.,anger
You find a pair of socks in your drawer that you don't remember buying.,surprise
You find an extra chapter at the end of a book you've read multiple times.,surprise
You find a hair in your soup.,disgust
You discover someone has thrown out items you were saving.,anger
"A new cafe in town serves your favorite, hard-to-find dish.",happiness
You find out a friend has been making plans without including you.,anger
You notice a new vending machine in a familiar building.,surprise
You find spoiled yogurt that has separated into liquid and lumps.,disgust
You discover your office building has a rooftop you never knew was accessible.,surprise
You notice a QR code in an unexpected place.,surprise
"During a group outing, one person constantly changes the plans.",anger
